0,SansHead,ClosedEyes,
0,SansText,...,
0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,321,310,,,,,,
0,HeartMode,0,,,,,,,
0,Ball,400,160,270,230,4
0.4,SansHead,sans16,
0,SansTorso,sans16
0,SansLegs,sans16,
0,BoneStab,1,40,0.4,1,,,,
0,SansSlam,1,,,,,,,
0.2,SansSlam,2,,,,,,,
0.4,SansSlam,3,,,,,,,
0.6,SansSlam,4,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666
0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,BoneStab,2,73,0.01,0.5,,,,
0.6,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0.6,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0.6,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0,BoneStab,0,73,0.01,0.5,,,,
0.6,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0.6,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0.6,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,BoneStab,0,73,0.01,0.5,,,,
0.6,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0.6,GasterBlaster,1,0,480,189,436,315,0.333,0.26666
0.6,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,BoneStab,2,73,0.01,0.5,,,,
0.6,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0.7,GasterBlaster,2,0,240,139,306,0,0.666,0.5
0,GasterBlaster,2,640,240,499,306,180,0.666,0.5
0,HeartMode,0,,,,,,,
2,BoneStab,0,85,0,0.15,,,,
0.3,BoneStab,1,85,0,0.15,,,,
0.3,BoneStab,2,85,0,0.15,,,,
0.3,BoneStab,3,85,0,0.15,,,,
0.3,BoneStab,0,85,0,0.15,,,,
0.3,BoneStab,1,85,0,0.15,,,,
0.3,BoneStab,2,85,0,0.15,,,,
0.3,BoneStab,3,55,0,0.5,,,,
0,BoneStab,0,55,0,0.5,,,,
0,BoneStab,1,55,0,0.5,,,,
0,BoneStab,2,55,0,0.5,,,,
2,Ball,400,100,270,220,4
0.555,EndAttack,


