0,SansHead,ClosedEyes,
0,SansText,...,
0,Ball,400,160,270,230,4
0.4,SansHead,sans8,
0,SansTorso,sans8
0,SansLegs,sans8,
0,CombatZoneResize,261,266,386,391,,,
0,HeartTeleport,320,334,,,,,
0,HeartMode,1,,,,,,
1,SansSlam,1,,,,,,
,,,,,,,,
0.6,SansSlam,2,,,,,,
0,BoneStab,1,52,0.4,0,,,
0.4,SansSlam,3,,,,,,
0,BoneStab,2,52,0.4,0,,,
0.4,SansSlam,0,,,,,,
0,BoneStab,3,52,0.4,0,,,
0.4,SansSlam,2,,,,,,
0,BoneStab,0,52,0.4,0.,,,
0.4,SansSlam,1,,,,,,
0,BoneStab,2,52,0.4,0.,,,
0.4,SansSlam,3,,,,,,
0,BoneStab,1,52,0.4,0.,,,
0.4,SansSlam,0,,,,,,
0,BoneStab,3,52,0.4,0.,,,
0.4,SansSlam,1,,,,,,
0,BoneStab,0,52,0.4,0.,,,
,,,,,,,,
0.4,SansSlam,2,,,,,,
0,BoneStab,1,52,0.4,0.,,,
0.4,SansSlam,3,,,,,,
0,BoneStab,2,52,0.4,0.,,,
0.4,SansSlam,0,,,,,,
0,BoneStab,3,52,0.4,0.,,,
0.4,SansSlam,2,,,,,,
0,CombatZoneResize,161,266,386,391,,,
0.6,SansSlam,0,,,,,,
0,CombatZoneSpeed,900,,,,,,
0,CombatZoneResize,-50,266,686,391,,,
0,HeartMaxFallSpeed,0,,,,,,
0.4,BoneStab,1,10,0,999,,,
0,BoneStab,3,10,0,999,,,
0.1,BoneStab,1,20,0,999,,,
0,BoneStab,3,20,0,999,,,
0.1,BoneStab,1,30,0,999,,,
0,BoneStab,3,30,0,999,,,
0.1,BoneStab,1,40,0,999,,,
0,BoneStab,3,40,0,999,,,
0.1,BoneStab,1,50,0,999,,,
0,BoneStab,3,50,0,999,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
0.1,BlackScreen,1,,,,,,
0,sound,flash,,,,,,
,,,,,,,,
0.2,BlackScreen,0,,,,,,
0,sound,flash,,,,,,
0,CombatZoneResizeInstant,261,266,386,391,,,
0,HeartTeleport,323,330,,,,,
0,HeartMode,6,,,,,,
0,BoneStab,0,53,0,999,,,
0,BoneStab,2,53,0,999,,,
0.2,BoneStab,1,80,0.4,0,,,
0,BoneStab,3,20,0.4,0,,,
0.3,BoneStab,1,50,0.5,0,,,
0,BoneStab,3,45,0.5,0,,,
0.3,BoneStab,1,30,0.5,999,,,
0,BoneStab,3,70,0.5,999,,,
1,BlackScreen,1,,,,,,
0,sound,flash,,,,,,
0.1,BlackScreen,0,,,,,,
0,sound,flash,,,,,,
0,CombatZoneResizeInstant,461,66,586,131,,,
0,HeartTeleport,512,100,,,,,
0,HeartMaxFallSpeed,300,,,,,,
0.2,SansSlam,1,,,,,,
0,CombatZoneSpeed,30,,,,,,
0,CombatZoneResize,261,66,406,131,,,

0,BoneVRepeat,251,60,40,0,100,50,80

0.4,BoneVRepeat,251,100,43,0,100,50,80
7,HeartMaxFallSpeed,900,,,,,,
0,SansSlam,1,,,,,,
0,CombatZoneSpeed,900,,,,,,
0,CombatZoneResize,261,266,386,391,,,
0.5,BoneStab,1,50,0.2,99,,,
0.5,Ball,400,100,270,220,4
0.555,EndAttack,,,,,,,

