0,SansHead,ClosedEyes,
0,SansText,...,
0,SansText,How many times do             I have to repeat myself         before you learn?,
0,Ball,400,160,270,230,4
0.4,SansHead,sans2,,,,,,,, 
0,SansTorso,sans2,,,,,,,,
0,SansLegs,sans2,,,,,,,,
0,CombatZoneResize,33,251,608,391,TLResume,,,,
0,HeartTeleport,320,376,,,,,,,
0,HeartMode,0,,,,,,,,
0,GasterBlaster,0,0,240,324,106,90,0.5,0.26666,
0.1555,GasterBlaster,0,0,240,344,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,294,106,90,0.5,0.26666,
0.1555,GasterBlaster,0,0,240,374,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,264,106,90,0.5,0.26666,
,,,,,,,,
0.1555,GasterBlaster,0,0,340,404,106,90,0.5,0.26666,
,,,,,,,,,,
0,GasterBlaster,0,0,240,234,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,434,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,204,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,464,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,174,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,494,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,144,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,524,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,114,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,554,106,90,0.5,0,
0,GasterBlaster,0,0,240,84,106,90,0.5,0,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,584,106,90,0.5,0,2
0,GasterBlaster,0,0,240,54,106,90,0.5,0,2
,,,,,,,,,,
0.5,GasterBlaster,0,0,340,584,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,54,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,554,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,84,106,90,0.5,0.26666,
,,,,,,,,,,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,524,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,114,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,494,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,144,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,464,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,174,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,434,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,204,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,340,404,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,234,106,90,0.5,0.26666,
,,,,,,,,,,
0.1555,GasterBlaster,0,0,240,374,106,90,0.5,0.26666,
0,GasterBlaster,0,0,240,264,106,90,0.5,0.26666,
,,,,,,,,,,
0.3,GasterBlaster,1,0,0,189,246,0,0.3,0.26666,
,,,,,,,,,,
0,GasterBlaster,1,640,480,449,366,180,0.3,0.26666,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.7,GasterBlaster,1,640,480,449,320,180,0.3,0.26666,
0,GasterBlaster,1,640,480,449,274,180,0.3,0.26666,2
0,GasterBlaster,1,640,480,449,366,180,0.3,0.26666,1
2,CombatZoneResize,241,226,406,391,TLResume,,,,
,,,,,,,,,,
0,HeartMode,0,,,,,,,,
0.5,SansTorso,down,,,,,,,,
0.1,SansSlam,1
0.3,BoneStab,1,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0.5,SansTorso,up,,,,,,,,
0.1,SansSlam,3
0.3,BoneStab,3,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0.5,SansTorso,up,,,,,,,,
0.1,SansSlam,3
0.3,BoneStab,3,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0.5,SansTorso,left,,,,,,,,
0.1,SansSlam,2
0.3,BoneStab,2,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0.5,SansTorso,right,,,,,,,,
0.1,SansSlam,0
0.3,BoneStab,0,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0.5,SansTorso,left,,,,,,,,
0.1,SansSlam,2
0.3,BoneStab,2,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0.5,SansTorso,down,,,,,,,,
0.1,SansSlam,1
0.3,BoneStab,1,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0.5,SansTorso,up,,,,,,,,
0.1,SansSlam,3
0.3,BoneStab,3,20,0.5,0,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,
0,BoneH,$HeartX,-5,5,1,500,,,,
0,BoneH,$HeartX,-15,5,1,500,,,,
0,BoneH,$HeartX,-25,5,1,500,,,,
0,Ball,400,100,270,220,4
0.555,EndAttack,,,,,,,,,
